
2025/03/02 (22:50:26) | ===> btop++ v.1.4.0
2025/03/02 (22:50:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (22:50:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (16:30:13) | ===> btop++ v.1.4.0
2025/03/04 (16:30:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/04 (16:30:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (00:19:56) | ===> btop++ v.1.4.0
2025/03/05 (00:19:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/05 (00:19:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (20:20:10) | ===> btop++ v.1.4.0
2025/03/05 (20:20:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/05 (20:20:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/05 (21:09:14) | ERROR: Stall in Runner thread, restarting!

2025/03/05 (22:28:46) | ===> btop++ v.1.4.0
2025/03/05 (22:28:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/05 (22:28:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (00:22:38) | ===> btop++ v.1.4.0
2025/03/06 (00:22:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/06 (00:22:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (00:31:48) | ===> btop++ v.1.4.0
2025/03/06 (00:31:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/06 (00:31:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (00:31:53) | ===> btop++ v.1.4.0
2025/03/06 (00:31:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/06 (00:31:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (00:31:57) | ===> btop++ v.1.4.0
2025/03/06 (00:31:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/06 (00:31:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (00:32:19) | ===> btop++ v.1.4.0
2025/03/06 (00:32:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/06 (00:32:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (00:32:22) | ===> btop++ v.1.4.0
2025/03/06 (00:32:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
